更新时间,#genre#
CCTV-7,http://220.249.114.102:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-7,http://123.113.187.204:8000/rtp/239.3.1.61:8104$组播源
CCTV-7,http://114.252.238.87:8000/rtp/239.3.1.61:8104$组播源
CCTV-7,http://222.129.139.229:8888/udp/239.3.1.61:8104$订阅源
CCTV-7,http://123.138.22.30:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-8,http://61.136.172.236:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-8,http://mom.cloudns.be:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-8,http://123.113.187.204:8000/rtp/239.3.1.175:8001$组播源
CCTV-8,http://222.129.139.229:8888/rtp/239.3.1.175:8001$组播源
CCTV-8,http://60.2.190.206:4000/udp/239.253.92.195:6060$订阅源
CCTV-8,http://219.128.121.202:59901/tsfile/live/0008_1.m3u8?key=txiptv$订阅源
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-9,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9,http://mom.cloudns.be:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-9,http://114.252.238.87:8000/rtp/239.3.1.62:8112$组播源
CCTV-9,http://60.2.190.206:4000/rtp/239.253.92.107:6020$组播源
CCTV-9,http://123.138.22.30:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://123.113.187.204:8000/udp/239.3.1.62:8112$订阅源
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-10,http://mom.cloudns.be:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-10,http://123.113.187.204:8000/rtp/239.3.1.63:8116$组播源
CCTV-10,http://114.252.238.87:8000/rtp/239.3.1.63:8116$组播源
CCTV-10,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://59.48.75.130:3052/tsfile/live/0010_1.m3u8$订阅源
CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://mom.cloudns.be:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-11,http://114.252.238.87:8000/rtp/239.3.1.152:8120$组播源
CCTV-11,http://123.113.187.204:8000/rtp/239.3.1.152:8120$组播源
CCTV-11,http://123.113.187.204:8000/udp/239.3.1.152:8120$订阅源
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-12,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://116.128.242.83:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-12,http://mom.cloudns.be:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-12,http://221.219.79.161:4000/rtp/239.3.1.64:8124$组播源
CCTV-12,http://60.2.190.206:4000/rtp/239.253.92.197:6062$组播源
CCTV-12,http://59.48.75.130:3052/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://123.138.22.30:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-13,http://mom.cloudns.be:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-13,http://222.129.139.91:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://123.113.187.204:8000/rtp/239.3.1.124:8128$组播源
CCTV-13,http://202.100.46.58:9901/tsfile/live/1013_1.m3u8$订阅源
CCTV-13,http://219.128.121.202:59901/tsfile/live/0013_1.m3u8?key=txiptv$订阅源
CCTV-14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://mom.cloudns.be:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-14,http://60.2.190.206:4000/rtp/239.253.92.198:6063$组播源
CCTV-14,http://114.252.238.87:8000/rtp/239.3.1.65:8132$组播源
CCTV-14,http://114.252.238.87:8000/udp/239.3.1.65:8132$订阅源
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://116.128.242.83:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-15,http://mom.cloudns.be:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-15,http://123.113.187.204:8000/rtp/239.3.1.153:8136$组播源
CCTV-15,http://60.2.190.206:4000/rtp/239.253.93.154:6322$组播源
CCTV-15,http://222.129.139.229:8888/udp/239.3.1.153:8136$订阅源
CCTV-15,http://111.14.181.15:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-16,http://222.129.139.91:8888/rtp/239.3.1.184:8001$组播源
CCTV-16,http://123.113.187.204:8000/rtp/239.3.1.183:8001$组播源
CCTV-16,http://123.113.187.204:8000/udp/239.3.1.183:8001$订阅源
CCTV-16,http://222.129.139.91:8888/udp/239.3.1.183:8001$订阅源
CCTV-17,http://59.173.243.210:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://60.2.190.206:4000/rtp/239.253.93.150:6318$组播源
CCTV-17,http://222.129.139.229:8888/rtp/239.3.1.151:8144$组播源
CCTV-17,http://123.138.22.30:9901/tsfile/live/0017_1.m3u8$订阅源
CCTV-17,http://123.113.249.203:8888/udp/239.3.1.151:8144$订阅源

📡卫视频道,#genre#
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
广东卫视,http://220.249.114.102:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://222.129.139.91:8888/rtp/239.3.1.142:8048$组播源
广东卫视,http://60.2.190.206:4000/rtp/239.253.92.206:8108$组播源
广东卫视,http://114.252.238.87:8000/udp/239.3.1.142:8048$订阅源
广东卫视,http://222.129.139.91:8888/udp/239.3.1.142:8048$订阅源
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv$订阅源
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639$订阅源
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
浙江卫视,http://61.136.172.236:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
浙江卫视,http://mom.cloudns.be:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
浙江卫视,http://123.113.187.204:8000/rtp/239.3.1.137:8036$组播源
浙江卫视,http://60.2.190.206:4000/rtp/239.253.92.90:8020$组播源
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8$订阅源
浙江卫视,http://123.113.249.203:8888/udp/239.3.1.137:8036$订阅源
湖南卫视,http://61.136.172.236:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖南卫视,http://116.128.242.83:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
湖南卫视,http://mom.cloudns.be:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
湖南卫视,http://221.219.79.161:4000/rtp/239.3.1.132:8012$组播源
湖南卫视,http://123.113.187.204:8000/rtp/239.3.1.132:8012$组播源
湖南卫视,http://114.252.238.87:8000/udp/239.3.1.132:8012$订阅源
湖南卫视,http://123.113.249.203:8888/udp/239.3.1.132:8012$订阅源
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
北京卫视,http://mom.cloudns.be:9901/tsfile/live/38725_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
北京卫视,http://111.196.191.248:5555/rtp/239.3.1.241:8000$组播源
北京卫视,http://221.219.79.161:4000/rtp/239.3.1.241:8000$组播源
北京卫视,http://123.138.22.30:9901/tsfile/live/0122_1.m3u8$订阅源
北京卫视,http://222.129.139.229:8888/udp/239.3.1.241:8000$订阅源
湖北卫视,http://116.128.242.83:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖北卫视,http://mom.cloudns.be:9901/tsfile/live/38726_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
湖北卫视,http://222.129.139.91:8888/rtp/239.3.1.138:8044$组播源
湖北卫视,http://111.196.191.248:5555/rtp/239.3.1.138:8044$组播源
湖北卫视,http://59.48.75.130:3052/tsfile/live/0127_1.m3u8$订阅源
湖北卫视,http://202.100.46.58:9901/tsfile/live/1025_1.m3u8$订阅源
黑龙江卫视,http://116.128.242.83:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
黑龙江卫视,http://mom.cloudns.be:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
黑龙江卫视,http://222.129.139.91:8888/rtp/239.3.1.133:8016$组播源
黑龙江卫视,http://114.252.238.87:8000/rtp/239.3.1.133:8016$组播源
黑龙江卫视,http://123.113.249.203:8888/udp/239.3.1.133:8016$订阅源
黑龙江卫视,http://60.2.190.206:4000/udp/239.253.92.85:8016$订阅源
安徽卫视,http://116.128.242.83:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
安徽卫视,http://mom.cloudns.be:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
安徽卫视,http://222.129.139.91:8888/rtp/239.3.1.211:8064$组播源
安徽卫视,http://114.252.238.87:8000/rtp/239.3.1.211:8064$组播源
安徽卫视,http://222.129.139.91:8888/udp/239.3.1.211:8064$订阅源
安徽卫视,http://58.221.214.82:9901/tsfile/live/0130_1.m3u8$订阅源
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
重庆卫视,http://116.128.242.83:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
重庆卫视,http://mom.cloudns.be:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
重庆卫视,http://111.196.191.248:5555/rtp/239.3.1.122:8160$组播源
重庆卫视,http://221.219.79.161:4000/rtp/239.3.1.122:8160$组播源
重庆卫视,http://222.129.139.91:8888/udp/239.3.1.122:8160$订阅源
重庆卫视,http://123.166.61.70:8003/hls/62/index.m3u8$订阅源
东方卫视,http://116.128.242.83:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
东方卫视,http://61.136.172.236:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
东方卫视,http://220.249.114.102:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
东方卫视,http://222.129.139.229:8888/rtp/239.3.1.136:8032$组播源
东方卫视,http://123.113.187.204:8000/rtp/239.3.1.136:8032$组播源
东方卫视,http://222.129.139.229:8888/udp/239.3.1.136:8032$订阅源
东方卫视,http://114.252.238.87:8000/udp/239.3.1.136:8032$订阅源
东南卫视,http://116.128.242.83:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
东南卫视,http://220.249.114.102:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
东南卫视,http://114.252.238.87:8000/rtp/239.3.1.156:8148$组播源
东南卫视,http://123.113.187.204:8000/rtp/239.3.1.156:8148$组播源
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8$订阅源
东南卫视,http://202.100.46.58:9901/tsfile/live/1031_1.m3u8$订阅源
甘肃卫视,http://mom.cloudns.be:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
甘肃卫视,http://220.249.114.102:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
甘肃卫视,http://123.113.187.204:8000/rtp/239.3.1.49:8188$组播源
甘肃卫视,http://221.219.79.161:4000/rtp/239.3.1.49:8188$组播源
甘肃卫视,http://114.252.238.87:8000/udp/239.3.1.49:8188$订阅源
甘肃卫视,http://222.129.139.91:8888/udp/239.3.1.49:8188$订阅源
广西卫视,http://61.136.172.236:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广西卫视,http://mom.cloudns.be:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
广西卫视,http://220.249.114.102:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广西卫视,http://114.252.238.87:8000/rtp/239.3.1.39:8300$组播源
广西卫视,http://60.2.190.206:4000/rtp/239.253.92.76:8043$组播源
广西卫视,http://123.113.249.203:8888/udp/239.3.1.39:8300$订阅源
广西卫视,http://222.129.139.229:8888/udp/239.3.1.39:8300$订阅源
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
贵州卫视,http://mom.cloudns.be:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
贵州卫视,http://220.249.114.102:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
贵州卫视,http://222.129.139.91:8888/rtp/239.3.1.149:8076$组播源
贵州卫视,http://123.113.187.204:8000/rtp/239.3.1.149:8076$组播源
贵州卫视,http://59.48.75.130:3052/tsfile/live/0015_2.m3u8$订阅源
贵州卫视,http://58.221.214.82:9901/tsfile/live/0120_1.m3u8$订阅源
海南卫视,http://220.249.114.102:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
海南卫视,http://59.173.243.210:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
海南卫视,http://114.252.238.87:8000/rtp/239.3.1.45:8304$组播源
海南卫视,http://60.2.190.206:4000/rtp/239.253.93.155:6323$组播源
海南卫视,http://222.129.139.91:8888/udp/239.3.1.45:8304$订阅源
海南卫视,http://60.2.190.206:4000/udp/239.253.93.155:6323$订阅源
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
河北卫视,http://116.128.242.83:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
河北卫视,http://mom.cloudns.be:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
河北卫视,http://222.129.139.91:8888/rtp/239.3.1.148:8072$组播源
河北卫视,http://221.219.79.161:4000/rtp/239.3.1.148:8072$组播源
河北卫视,http://222.129.139.91:8888/udp/239.3.1.148:8072$订阅源
河北卫视,http://114.252.238.87:8000/udp/239.3.1.148:8072$订阅源
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
河南卫视,http://mom.cloudns.be:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
河南卫视,http://220.249.114.102:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
河南卫视,http://60.2.190.206:4000/rtp/239.253.92.137:6144$组播源
河南卫视,http://123.113.187.204:8000/rtp/239.3.1.27:8128$组播源
河南卫视,http://123.113.187.204:8000/udp/239.3.1.27:8128$订阅源
河南卫视,http://222.129.139.229:8888/udp/239.3.1.27:8128$订阅源
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
吉林卫视,http://mom.cloudns.be:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
吉林卫视,http://220.249.114.102:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
吉林卫视,http://114.252.238.87:8000/rtp/239.3.1.240:8172$组播源
吉林卫视,http://221.219.79.161:4000/rtp/239.3.1.240:8172$组播源
吉林卫视,http://123.113.249.203:8888/udp/239.3.1.240:8172$订阅源
吉林卫视,http://59.48.75.130:3052/tsfile/live/0118_1.m3u8$订阅源
江苏卫视,http://116.128.242.83:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
江苏卫视,http://61.136.172.236:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
江苏卫视,http://mom.cloudns.be:9901/tsfile/live/0135_2.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
江苏卫视,http://222.129.139.91:8888/rtp/239.3.1.135:8028$组播源
江苏卫视,http://123.113.187.204:8000/rtp/239.3.1.135:8028$组播源
江苏卫视,http://59.48.75.130:3052/tsfile/live/0131_1.m3u8$订阅源
江苏卫视,http://123.138.22.30:9901/tsfile/live/0127_1.m3u8$订阅源
江西卫视,http://116.128.242.83:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
江西卫视,http://61.136.172.236:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
江西卫视,http://mom.cloudns.be:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
江西卫视,http://60.2.190.206:4000/rtp/239.253.92.19:6145$组播源
江西卫视,http://114.252.238.87:8000/rtp/239.3.1.123:8164$组播源
江西卫视,http://123.113.249.203:8888/udp/239.3.1.123:8164$订阅源
江西卫视,http://123.113.187.204:8000/udp/239.3.1.123:8164$订阅源
辽宁卫视,http://116.128.242.83:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
辽宁卫视,http://mom.cloudns.be:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
辽宁卫视,http://123.113.187.204:8000/rtp/239.3.1.210:8056$组播源
辽宁卫视,http://221.219.79.161:4000/rtp/239.3.1.210:8056$组播源
辽宁卫视,http://58.221.214.82:9901/tsfile/live/0121_1.m3u8$订阅源
辽宁卫视,http://123.113.249.203:8888/udp/239.3.1.210:8056$订阅源
内蒙古卫视,http://mom.cloudns.be:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
内蒙古卫视,http://220.249.114.102:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
内蒙古卫视,http://123.113.187.204:8000/rtp/239.3.1.43:8176$组播源
内蒙古卫视,http://222.129.139.229:8888/rtp/239.3.1.43:8176$组播源
内蒙古卫视,http://123.113.249.203:8888/udp/239.3.1.43:8176$订阅源
内蒙古卫视,http://222.129.139.91:8888/udp/239.3.1.43:8176$订阅源
宁夏卫视,http://220.249.114.102:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
宁夏卫视,http://221.219.79.161:4000/rtp/239.3.1.46:8124$组播源
宁夏卫视,http://114.252.238.87:8000/rtp/239.3.1.46:8124$组播源
宁夏卫视,http://222.129.139.229:8888/udp/239.3.1.46:8124$订阅源
宁夏卫视,http://114.252.238.87:8000/udp/239.3.1.46:8124$订阅源
青海卫视,http://mom.cloudns.be:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
青海卫视,http://220.249.114.102:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
青海卫视,http://222.129.139.229:8888/rtp/239.3.1.44:8184$组播源
青海卫视,http://123.113.187.204:8000/rtp/239.3.1.44:8184$组播源
青海卫视,http://123.138.22.30:9901/tsfile/live/0140_1.m3u8$订阅源
青海卫视,http://123.113.187.204:8000/udp/239.3.1.44:8184$订阅源
山东卫视,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
山东卫视,http://116.128.242.83:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
山东卫视,http://mom.cloudns.be:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
